vcigljMz5QsF4Pb C50TnI8V POnRfZrpM4FdTBitaUj Wfl0TH5FO1KmXGvZhMP PdsjDw59ZN mIL5A3FdYaM2wHSf 4qWJ7V gGJ0zc nIFPKsRTxcOiZqCh1b nKraRfO 3HUnT DTY1k40sc5R
619599445 2083864808 741182423 1817574772 1519287663 2036814072 749488555 999604104 1973042251 1894124163 175252714 366418567
1 1 1 1 1 1 1 1 1 1 1 1
0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259
0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259
-11621 7659 -5478 -3916 -26937 10066 25341 2181 5445 -168 -8230 9687
1 1 1 1 1 1 1 1 1 1 1 1
0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259 0.078259
1362765809 167523702 1355615178 808130857 1009886784 943478020 976266121 1958318899 548985481 129233770 516200255 2125660662
8406 14659 8813 46028 31728 42341 59721 58016 63425 48228 58845 39941

